LEO ephemeris
Frame : TOD/1996 without EOP
Period : 2020-01-01T00:00:00.000 - 2020-01-01T12:00:00.000
                   date;Semi-Major Axis (km);Eccentricity (-);Inclination (Degrees);RA of Asc· Node (Degrees);Argument of Perigee (Degrees);True Anomaly (Degrees)
2020/01/01 00:00:00.000;     7009.28263;     0.00165964;       97.99660;       90.00022;        0.21377;      359.78450
2020/01/01 00:01:00.000;     7009.20929;     0.00164901;       97.99663;       90.00022;        3.24913;        0.45999
2020/01/01 00:02:00.000;     7008.98173;     0.00161539;       97.99675;       90.00023;        6.24044;        1.17949
2020/01/01 00:03:00.000;     7008.60187;     0.00155907;       97.99695;       90.00026;        9.12946;        2.00119
2020/01/01 00:04:00.000;     7008.07630;     0.00148102;       97.99724;       90.00033;       11.83929;        3.00193
2020/01/01 00:05:00.000;     7007.41571;     0.00138288;       97.99761;       90.00044;       14.27232;        4.27928
2020/01/01 00:06:00.000;     7006.63194;     0.00126662;       97.99804;       90.00061;       16.29019;        5.97157
2020/01/01 00:07:00.000;     7005.73848;     0.00113471;       97.99854;       90.00083;       17.67550;        8.29614
2020/01/01 00:08:00.000;     7004.75081;     0.00099055;       97.99908;       90.00112;       18.06915;       11.61204
2020/01/01 00:09:00.000;     7003.68589;     0.00083896;       97.99968;       90.00149;       16.84223;       16.54817
2020/01/01 00:10:00.000;     7002.56192;     0.00068769;       98.00032;       90.00195;       12.84181;       24.25740
2020/01/01 00:11:00.000;     7001.39706;     0.00055075;       98.00098;       90.00249;        3.98842;       36.81917
2020/01/01 00:12:00.000;     7000.20942;     0.00045513;       98.00166;       90.00313;      347.57549;       56.94003
2020/01/01 00:13:00.000;     6999.01783;     0.00043963;       98.00235;       90.00385;      324.96193;       83.26103
2020/01/01 00:14:00.000;     6997.84238;     0.00051655;       98.00302;       90.00466;      305.44656;      106.48333
2020/01/01 00:15:00.000;     6996.70389;     0.00065461;       98.00367;       90.00556;      293.99408;      121.64220
2020/01/01 00:16:00.000;     6995.62175;     0.00082133;       98.00428;       90.00653;      288.56752;      130.77460
2020/01/01 00:17:00.000;     6994.61298;     0.00099871;       98.00484;       90.00757;      286.65003;      136.39737
2020/01/01 00:18:00.000;     6993.69338;     0.00117737;       98.00536;       90.00867;      286.76817;      139.98393
2020/01/01 00:19:00.000;     6992.87778;     0.00135170;       98.00581;       90.00983;      288.13314;      142.32307
2020/01/01 00:20:00.000;     6992.17991;     0.00151787;       98.00619;       90.01104;      290.31015;      143.84958
2020/01/01 00:21:00.000;     6991.61243;     0.00167290;       98.00650;       90.01230;      293.04665;      144.81601
2020/01/01 00:22:00.000;     6991.18549;     0.00181448;       98.00673;       90.01359;      296.18517;      145.37984
2020/01/01 00:23:00.000;     6990.90672;     0.00194077;       98.00688;       90.01491;      299.62359;      145.64317
2020/01/01 00:24:00.000;     6990.78147;     0.00205030;       98.00695;       90.01625;      303.29318;      145.67476
2020/01/01 00:25:00.000;     6990.81157;     0.00214204;       98.00693;       90.01759;      307.14343;      145.52513
2020/01/01 00:26:00.000;     6990.99612;     0.00221534;       98.00682;       90.01893;      311.13863;      145.22999
2020/01/01 00:27:00.000;     6991.33228;     0.00226974;       98.00663;       90.02027;      315.25208;      144.81607
2020/01/01 00:28:00.000;     6991.81394;     0.00230516;       98.00636;       90.02158;      319.46047;      144.30668
2020/01/01 00:29:00.000;     6992.43188;     0.00232189;       98.00601;       90.02286;      323.74380;      143.72185
2020/01/01 00:30:00.000;     6993.17529;     0.00232039;       98.00558;       90.02408;      328.08569;      143.07798
2020/01/01 00:31:00.000;     6994.03097;     0.00230140;       98.00509;       90.02525;      332.46936;      142.39187
2020/01/01 00:32:00.000;     6994.98396;     0.00226588;       98.00454;       90.02635;      336.87900;      141.67934
2020/01/01 00:33:00.000;     6996.01890;     0.00221485;       98.00395;       90.02737;      341.29938;      140.95566
2020/01/01 00:34:00.000;     6997.11903;     0.00214941;       98.00332;       90.02830;      345.71102;      140.24032
2020/01/01 00:35:00.000;     6998.26586;     0.00207092;       98.00267;       90.02915;      350.08974;      139.55753
2020/01/01 00:36:00.000;     6999.44081;     0.00198081;       98.00201;       90.02991;      354.40850;      138.93436
2020/01/01 00:37:00.000;     7000.62582;     0.00188049;       98.00134;       90.03058;      358.63485;      138.40327
2020/01/01 00:38:00.000;     7001.80260;     0.00177139;       98.00068;       90.03116;        2.72488;      138.00821
2020/01/01 00:39:00.000;     7002.95230;     0.00165509;       98.00004;       90.03166;        6.61789;      137.80989
2020/01/01 00:40:00.000;     7004.05594;     0.00153334;       97.99943;       90.03207;       10.23118;      137.89107
2020/01/01 00:41:00.000;     7005.09499;     0.00140806;       97.99886;       90.03240;       13.45268;      138.36381
2020/01/01 00:42:00.000;     7006.05170;     0.00128144;       97.99834;       90.03266;       16.12964;      139.38089
2020/01/01 00:43:00.000;     7006.90928;     0.00115612;       97.99787;       90.03286;       18.05269;      141.15173
2020/01/01 00:44:00.000;     7007.65217;     0.00103549;       97.99748;       90.03300;       18.94204;      143.95612
2020/01/01 00:45:00.000;     7008.26762;     0.00092386;       97.99716;       90.03309;       18.45099;      148.14078
2020/01/01 00:46:00.000;     7008.74623;     0.00082682;       97.99691;       90.03314;       16.20309;      154.08222
2020/01/01 00:47:00.000;     7009.08013;     0.00075165;       97.99676;       90.03316;       11.92775;      162.05102
2020/01/01 00:48:00.000;     7009.26290;     0.00070668;       97.99669;       90.03317;        5.77519;      171.89699
2020/01/01 00:49:00.000;     7009.29143;     0.00069848;       97.99671;       90.03317;      358.62428;      182.74131
2020/01/01 00:50:00.000;     7009.16498;     0.00072852;       97.99681;       90.03317;      351.87341;      193.18558
2020/01/01 00:51:00.000;     7008.88401;     0.00079247;       97.99700;       90.03320;      346.70475;      202.04766
