,pv,kep
0,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 3.8177908646649423;}, attitude=org.orekit.attitudes.Attitude@d2969b9, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 3.8177908646649423;}
1,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 7.535530429791541;}, attitude=org.orekit.attitudes.Attitude@1fb318bd, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 7.535530429791541;}
2,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 11.253168960234545;}, attitude=org.orekit.attitudes.Attitude@46873eb7, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 11.253168960234545;}
3,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 14.970657153459149;}, attitude=org.orekit.attitudes.Attitude@3ab26800, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 14.970657153459149;}
4,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 18.68794635048356;}, attitude=org.orekit.attitudes.Attitude@3d43e91b, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 18.68794635048356;}
5,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 22.40498874387863;}, attitude=org.orekit.attitudes.Attitude@7be13bab, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 22.40498874387863;}
6,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 26.121737581878484;}, attitude=org.orekit.attitudes.Attitude@4ecc0e6, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 26.121737581878484;}
7,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 29.838147367677866;}, attitude=org.orekit.attitudes.Attitude@2db75a13, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 29.838147367677866;}
8,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 33.55417405301903;}, attitude=org.orekit.attitudes.Attitude@f1e758f, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 33.55417405301903;}
9,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 37.26977522520281;}, attitude=org.orekit.attitudes.Attitude@7d502ba4, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 37.26977522520281;}
