,kep
0,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 3.8177908646649423;}, attitude=org.orekit.attitudes.Attitude@46d97504, mass=1000.0, additional={}}"
1,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 7.535530429791541;}, attitude=org.orekit.attitudes.Attitude@662b89b7, mass=1000.0, additional={}}"
2,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 11.253168960234545;}, attitude=org.orekit.attitudes.Attitude@770cd4c3, mass=1000.0, additional={}}"
3,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 14.970657153459149;}, attitude=org.orekit.attitudes.Attitude@18cf9e91, mass=1000.0, additional={}}"
4,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 18.68794635048356;}, attitude=org.orekit.attitudes.Attitude@2293da0e, mass=1000.0, additional={}}"
5,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 22.40498874387863;}, attitude=org.orekit.attitudes.Attitude@2f6fea0d, mass=1000.0, additional={}}"
6,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 26.121737581878484;}, attitude=org.orekit.attitudes.Attitude@3e5489ef, mass=1000.0, additional={}}"
7,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 29.838147367677866;}, attitude=org.orekit.attitudes.Attitude@5a8bb3a2, mass=1000.0, additional={}}"
8,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 33.55417405301903;}, attitude=org.orekit.attitudes.Attitude@66f45157, mass=1000.0, additional={}}"
9,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 37.26977522520281;}, attitude=org.orekit.attitudes.Attitude@369be006, mass=1000.0, additional={}}"
10,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 40.984910286694834;}, attitude=org.orekit.attitudes.Attitude@2c9a0ccb, mass=1000.0, additional={}}"
11,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 44.699540626538784;}, attitude=org.orekit.attitudes.Attitude@2b8bbc59, mass=1000.0, additional={}}"
12,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 48.413629782832565;}, attitude=org.orekit.attitudes.Attitude@6f312e96, mass=1000.0, additional={}}"
13,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 52.12714359557221;}, attitude=org.orekit.attitudes.Attitude@64378a6, mass=1000.0, additional={}}"
14,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 55.840050349218835;}, attitude=org.orekit.attitudes.Attitude@7a43d0f1, mass=1000.0, additional={}}"
15,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 59.5523209043986;}, attitude=org.orekit.attitudes.Attitude@c5cd294, mass=1000.0, additional={}}"
16,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 63.263928818201244;}, attitude=org.orekit.attitudes.Attitude@6a7f1817, mass=1000.0, additional={}}"
17,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 66.97485045260225;}, attitude=org.orekit.attitudes.Attitude@77e4cbb6, mass=1000.0, additional={}}"
18,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 70.68506507059169;}, attitude=org.orekit.attitudes.Attitude@13c449e3, mass=1000.0, additional={}}"
19,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 74.39455491965553;}, attitude=org.orekit.attitudes.Attitude@7966f17d, mass=1000.0, additional={}}"
20,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 78.10330530231509;}, attitude=org.orekit.attitudes.Attitude@6bcbe1e6, mass=1000.0, additional={}}"
21,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 81.81130463349297;}, attitude=org.orekit.attitudes.Attitude@3aa32e52, mass=1000.0, additional={}}"
22,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 85.51854448453494;}, attitude=org.orekit.attitudes.Attitude@b19e3b4, mass=1000.0, additional={}}"
23,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 89.22501961377868;}, attitude=org.orekit.attitudes.Attitude@45ba06b3, mass=1000.0, additional={}}"
24,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 92.9307279836203;}, attitude=org.orekit.attitudes.Attitude@714a0b33, mass=1000.0, additional={}}"
25,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 96.63567076408867;}, attitude=org.orekit.attitudes.Attitude@52387af6, mass=1000.0, additional={}}"
26,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 100.33985232299575;}, attitude=org.orekit.attitudes.Attitude@16783746, mass=1000.0, additional={}}"
27,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 104.04328020278655;}, attitude=org.orekit.attitudes.Attitude@3e224a4, mass=1000.0, additional={}}"
28,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 107.74596508426714;}, attitude=org.orekit.attitudes.Attitude@2250a478, mass=1000.0, additional={}}"
29,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 111.44792073744044;}, attitude=org.orekit.attitudes.Attitude@332e950e, mass=1000.0, additional={}}"
30,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 115.14916395973017;}, attitude=org.orekit.attitudes.Attitude@643b562a, mass=1000.0, additional={}}"
31,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 118.84971450192027;}, attitude=org.orekit.attitudes.Attitude@76ee890d, mass=1000.0, additional={}}"
32,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 122.54959498218163;}, attitude=org.orekit.attitudes.Attitude@51ba80cc, mass=1000.0, additional={}}"
33,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 126.24883078860195;}, attitude=org.orekit.attitudes.Attitude@167bf910, mass=1000.0, additional={}}"
34,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 129.94744997067178;}, attitude=org.orekit.attitudes.Attitude@28cf67f3, mass=1000.0, additional={}}"
35,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 133.64548312021967;}, attitude=org.orekit.attitudes.Attitude@2aeb3506, mass=1000.0, additional={}}"
