,kep,datetime
0,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -401.6162496986045;}, attitude=org.orekit.attitudes.Attitude@45050433, mass=1001.0202363003215, additional={}}",2020-01-01 00:01:00
1,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -396.32569930082707;}, attitude=org.orekit.attitudes.Attitude@55e85ec8, mass=1001.0202363003215, additional={}}",2020-01-01 00:02:00
2,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -390.93368552241895;}, attitude=org.orekit.attitudes.Attitude@57d8308d, mass=1001.0202363003215, additional={}}",2020-01-01 00:03:00
3,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -385.4512474421432;}, attitude=org.orekit.attitudes.Attitude@338a9b84, mass=1001.0202363003215, additional={}}",2020-01-01 00:04:00
4,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -379.89146266519884;}, attitude=org.orekit.attitudes.Attitude@477090bf, mass=1001.0202363003215, additional={}}",2020-01-01 00:05:00
5,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -374.26927710721014;}, attitude=org.orekit.attitudes.Attitude@2a3920fe, mass=1001.0202363003215, additional={}}",2020-01-01 00:06:00
6,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -368.60123020108995;}, attitude=org.orekit.attitudes.Attitude@3cf3216c, mass=1001.0202363003215, additional={}}",2020-01-01 00:07:00
7,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -362.90508277213473;}, attitude=org.orekit.attitudes.Attitude@5bc2dbcd, mass=1001.0202363003215, additional={}}",2020-01-01 00:08:00
8,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -357.19936540999174;}, attitude=org.orekit.attitudes.Attitude@18f45d62, mass=1001.0202363003215, additional={}}",2020-01-01 00:09:00
9,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -351.502874602377;}, attitude=org.orekit.attitudes.Attitude@7b29b052, mass=1001.0202363003215, additional={}}",2020-01-01 00:10:00
10,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -345.834150446585;}, attitude=org.orekit.attitudes.Attitude@5ef4161a, mass=1001.0202363003215, additional={}}",2020-01-01 00:11:00
11,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -340.21097212781456;}, attitude=org.orekit.attitudes.Attitude@1325a2ba, mass=1001.0202363003215, additional={}}",2020-01-01 00:12:00
12,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -334.64990506422646;}, attitude=org.orekit.attitudes.Attitude@2980f2f1, mass=1001.0202363003215, additional={}}",2020-01-01 00:13:00
13,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -329.1659271343825;}, attitude=org.orekit.attitudes.Attitude@1f9d6cb3, mass=1001.0202363003215, additional={}}",2020-01-01 00:14:00
14,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -323.77215200437286;}, attitude=org.orekit.attitudes.Attitude@61a7ed9c, mass=1001.0202363003215, additional={}}",2020-01-01 00:15:00
15,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -318.4796569934016;}, attitude=org.orekit.attitudes.Attitude@5fa9a360, mass=1001.0202363003215, additional={}}",2020-01-01 00:16:00
16,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -313.2974128947822;}, attitude=org.orekit.attitudes.Attitude@7110c51e, mass=1001.0202363003215, additional={}}",2020-01-01 00:17:00
17,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -308.23230505903024;}, attitude=org.orekit.attitudes.Attitude@51cd77b, mass=1001.0202363003215, additional={}}",2020-01-01 00:18:00
18,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -303.2892296047295;}, attitude=org.orekit.attitudes.Attitude@5b891149, mass=1001.0202363003215, additional={}}",2020-01-01 00:19:00
19,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -298.47124599190676;}, attitude=org.orekit.attitudes.Attitude@49290bfb, mass=1001.0202363003215, additional={}}",2020-01-01 00:20:00
20,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -293.77976702664375;}, attitude=org.orekit.attitudes.Attitude@3e660ff5, mass=1001.0202363003215, additional={}}",2020-01-01 00:21:00
21,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -289.2147690363192;}, attitude=org.orekit.attitudes.Attitude@5d22a04d, mass=1001.0202363003215, additional={}}",2020-01-01 00:22:00
22,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -284.77500775065005;}, attitude=org.orekit.attitudes.Attitude@4e32e1f9, mass=1001.0202363003215, additional={}}",2020-01-01 00:23:00
23,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -280.458228698989;}, attitude=org.orekit.attitudes.Attitude@4f455d17, mass=1001.0202363003215, additional={}}",2020-01-01 00:24:00
24,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -276.2613641921518;}, attitude=org.orekit.attitudes.Attitude@4152faad, mass=1001.0202363003215, additional={}}",2020-01-01 00:25:00
25,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -272.18071187273085;}, attitude=org.orekit.attitudes.Attitude@9ba0a02, mass=1001.0202363003215, additional={}}",2020-01-01 00:26:00
26,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -268.21209222279947;}, attitude=org.orekit.attitudes.Attitude@50de1fe5, mass=1001.0202363003215, additional={}}",2020-01-01 00:27:00
27,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -264.3509842634016;}, attitude=org.orekit.attitudes.Attitude@35965d0c, mass=1001.0202363003215, additional={}}",2020-01-01 00:28:00
28,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -260.5926399968603;}, attitude=org.orekit.attitudes.Attitude@63475e81, mass=1001.0202363003215, additional={}}",2020-01-01 00:29:00
29,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -256.93217900503737;}, attitude=org.orekit.attitudes.Attitude@3a74b2f1, mass=1001.0202363003215, additional={}}",2020-01-01 00:30:00
30,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -253.36466511549415;}, attitude=org.orekit.attitudes.Attitude@1af5a36d, mass=1001.0202363003215, additional={}}",2020-01-01 00:31:00
31,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -249.88516727377052;}, attitude=org.orekit.attitudes.Attitude@1d8cf302, mass=1001.0202363003215, additional={}}",2020-01-01 00:32:00
32,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -246.48880679408924;}, attitude=org.orekit.attitudes.Attitude@44e60564, mass=1001.0202363003215, additional={}}",2020-01-01 00:33:00
33,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -243.17079306860867;}, attitude=org.orekit.attitudes.Attitude@5b9ad433, mass=1001.0202363003215, additional={}}",2020-01-01 00:34:00
34,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -239.9264496476822;}, attitude=org.orekit.attitudes.Attitude@6c43eae6, mass=1001.0202363003215, additional={}}",2020-01-01 00:35:00
35,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -236.7512323975467;}, attitude=org.orekit.attitudes.Attitude@16ad008f, mass=1001.0202363003215, additional={}}",2020-01-01 00:36:00
36,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -233.64074122317612;}, attitude=org.orekit.attitudes.Attitude@6214ea1b, mass=1001.0202363003215, additional={}}",2020-01-01 00:37:00
37,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -230.5907266294644;}, attitude=org.orekit.attitudes.Attitude@6f229126, mass=1001.0202363003215, additional={}}",2020-01-01 00:38:00
38,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -227.59709219355804;}, attitude=org.orekit.attitudes.Attitude@1cc552fe, mass=1001.0202363003215, additional={}}",2020-01-01 00:39:00
39,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -224.6558938404239;}, attitude=org.orekit.attitudes.Attitude@62129091, mass=1001.0202363003215, additional={}}",2020-01-01 00:40:00
40,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -221.7633366547359;}, attitude=org.orekit.attitudes.Attitude@2793fafa, mass=1001.0202363003215, additional={}}",2020-01-01 00:41:00
41,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -218.91576982497443;}, attitude=org.orekit.attitudes.Attitude@5c43f48f, mass=1001.0202363003215, additional={}}",2020-01-01 00:42:00
42,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -216.10968019903848;}, attitude=org.orekit.attitudes.Attitude@6aa70f5b, mass=1001.0202363003215, additional={}}",2020-01-01 00:43:00
43,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -213.34168483281348;}, attitude=org.orekit.attitudes.Attitude@1c479c86, mass=1001.0202363003215, additional={}}",2020-01-01 00:44:00
44,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -210.6085228318307;}, attitude=org.orekit.attitudes.Attitude@24bbe1de, mass=1001.0202363003215, additional={}}",2020-01-01 00:45:00
45,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -207.90704671919195;}, attitude=org.orekit.attitudes.Attitude@671f8e4a, mass=1001.0202363003215, additional={}}",2020-01-01 00:46:00
46,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -205.2342135081961;}, attitude=org.orekit.attitudes.Attitude@35108825, mass=1001.0202363003215, additional={}}",2020-01-01 00:47:00
47,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -202.58707561365443;}, attitude=org.orekit.attitudes.Attitude@151391ad, mass=1001.0202363003215, additional={}}",2020-01-01 00:48:00
48,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -199.96277170001315;}, attitude=org.orekit.attitudes.Attitude@6e5d37c0, mass=1001.0202363003215, additional={}}",2020-01-01 00:49:00
49,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -197.3585175356188;}, attitude=org.orekit.attitudes.Attitude@75ab999f, mass=1001.0202363003215, additional={}}",2020-01-01 00:50:00
50,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -194.7715968995044;}, attitude=org.orekit.attitudes.Attitude@44cb66af, mass=1001.0202363003215, additional={}}",2020-01-01 00:51:00
51,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -192.1993525688718;}, attitude=org.orekit.attitudes.Attitude@4ddc0962, mass=1001.0202363003215, additional={}}",2020-01-01 00:52:00
52,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -189.63917740111992;}, attitude=org.orekit.attitudes.Attitude@4a38c42e, mass=1001.0202363003215, additional={}}",2020-01-01 00:53:00
53,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -187.08850551308973;}, attitude=org.orekit.attitudes.Attitude@6376db97, mass=1001.0202363003215, additional={}}",2020-01-01 00:54:00
54,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -184.54480355158617;}, attitude=org.orekit.attitudes.Attitude@7c972748, mass=1001.0202363003215, additional={}}",2020-01-01 00:55:00
55,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -182.0055620427261;}, attitude=org.orekit.attitudes.Attitude@512db6a1, mass=1001.0202363003215, additional={}}",2020-01-01 00:56:00
56,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -179.468286802886;}, attitude=org.orekit.attitudes.Attitude@5d38011e, mass=1001.0202363003215, additional={}}",2020-01-01 00:57:00
57,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -176.93049039071937;}, attitude=org.orekit.attitudes.Attitude@8c7d34d, mass=1001.0202363003215, additional={}}",2020-01-01 00:58:00
58,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -174.38968357768084;}, attitude=org.orekit.attitudes.Attitude@4d2f087a, mass=1001.0202363003215, additional={}}",2020-01-01 00:59:00
59,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -171.84336681362115;}, attitude=org.orekit.attitudes.Attitude@710b37c0, mass=1001.0202363003215, additional={}}",2020-01-01 01:00:00
60,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -169.28902166424703;}, attitude=org.orekit.attitudes.Attitude@6c26f80e, mass=1001.0202363003215, additional={}}",2020-01-01 01:01:00
61,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -166.7241021985887;}, attitude=org.orekit.attitudes.Attitude@5acd137c, mass=1001.0202363003215, additional={}}",2020-01-01 01:02:00
62,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -164.14602630716578;}, attitude=org.orekit.attitudes.Attitude@6f14bc87, mass=1001.0202363003215, additional={}}",2020-01-01 01:03:00
63,"SpacecraftState{orbit=Keplerian parameters: {a: 6972137.701854849; e: 0.1999202517033695; i: 98.0; pa: -0.9148146714269085; raan: 90.0; v: -161.55216693543414;}, attitude=org.orekit.attitudes.Attitude@47893392, mass=1001.0202363003215, additional={}}",2020-01-01 01:04:00
