,kep,datetime
0,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034719872048684396; ey: -0.19696327135240718; hx: 0.6745085164530364; hy: -2.3903207097843382E-5; lv: 285.76506254982684;}, attitude=org.orekit.attitudes.Attitude@76cf91c9, mass=625.0, additional={}}",2020-01-01 00:01:00
1,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.0347101084787423; ey: -0.19696499161843786; hx: 0.6745085152165622; hy: -4.780641422157381E-5; lv: 291.41141119671096;}, attitude=org.orekit.attitudes.Attitude@74bfdd66, mass=625.0, additional={}}",2020-01-01 00:02:00
2,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03470034482358368; ey: -0.19696671140052946; hx: 0.6745085131330041; hy: -7.170962134116836E-5; lv: 297.0211688214374;}, attitude=org.orekit.attitudes.Attitude@6fc7e828, mass=625.0, additional={}}",2020-01-01 00:03:00
3,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03469058108323254; ey: -0.19696843069867775; hx: 0.674508510202362; hy: -9.561282842660353E-5; lv: 302.57743654383194;}, attitude=org.orekit.attitudes.Attitude@26a9c6df, mass=625.0, additional={}}",2020-01-01 00:04:00
4,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03468081725771284; ey: -0.19697014951287853; hx: 0.674508506424636; hy: -1.1951603544785587E-4; lv: 308.0646965822084;}, attitude=org.orekit.attitudes.Attitude@2ce24a1a, mass=625.0, additional={}}",2020-01-01 00:05:00
5,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03467105334704858; ey: -0.19697186784312756; hx: 0.6745085017998261; hy: -1.4341924237490226E-4; lv: 313.4691287673567;}, attitude=org.orekit.attitudes.Attitude@26bce60d, mass=625.0, additional={}}",2020-01-01 00:06:00
6,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03466128935126374; ey: -0.19697358568942064; hx: 0.6745084963279323; hy: -1.6732244917771918E-4; lv: 318.77882853716443;}, attitude=org.orekit.attitudes.Attitude@76eadc5a, mass=625.0, additional={}}",2020-01-01 00:07:00
7,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.0346515252703823; ey: -0.19697530305175354; hx: 0.6745084900089545; hy: -1.9122565582628347E-4; lv: 323.98392424333855;}, attitude=org.orekit.attitudes.Attitude@1e9d7366, mass=625.0, additional={}}",2020-01-01 00:08:00
8,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03464176110442826; ey: -0.19697701993012204; hx: 0.6745084828428929; hy: -2.151288622905714E-4; lv: 329.0766003750953;}, attitude=org.orekit.attitudes.Attitude@20914835, mass=625.0, additional={}}",2020-01-01 00:09:00
9,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034631996853425585; ey: -0.19697873632452195; hx: 0.6745084748297473; hy: -2.3903206854055984E-4; lv: 334.05103983622905;}, attitude=org.orekit.attitudes.Attitude@615c4ea4, mass=625.0, additional={}}",2020-01-01 00:10:00
10,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03462223251739827; ey: -0.19698045223494903; hx: 0.6745084659695179; hy: -2.6293527454622565E-4; lv: 338.9033022816615;}, attitude=org.orekit.attitudes.Attitude@417446d9, mass=625.0, additional={}}",2020-01-01 00:11:00
11,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03461246809637031; ey: -0.1969821676613991; hx: 0.6745084562622045; hy: -2.8683848027754547E-4; lv: 343.63115683856654;}, attitude=org.orekit.attitudes.Attitude@34070bd2, mass=625.0, additional={}}",2020-01-01 00:12:00
12,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03460270359036567; ey: -0.1969838826038679; hx: 0.6745084457078072; hy: -3.107416857044959E-4; lv: 348.2338867835471;}, attitude=org.orekit.attitudes.Attitude@1e7d3d87, mass=625.0, additional={}}",2020-01-01 00:13:00
13,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03459293899940835; ey: -0.19698559706235128; hx: 0.674508434306326; hy: -3.346448907970535E-4; lv: 352.7120815712777;}, attitude=org.orekit.attitudes.Attitude@1dd76982, mass=625.0, additional={}}",2020-01-01 00:14:00
14,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034583174323522335; ey: -0.196987311036845; hx: 0.674508422057761; hy: -3.585480955251949E-4; lv: 357.0674286662843;}, attitude=org.orekit.attitudes.Attitude@7e76a66f, mass=625.0, additional={}}",2020-01-01 00:15:00
15,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034573409562731604; ey: -0.19698902452734485; hx: 0.6745084089621121; hy: -3.8245129985889684E-4; lv: 361.30251446744546;}, attitude=org.orekit.attitudes.Attitude@72237be8, mass=625.0, additional={}}",2020-01-01 00:16:00
16,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03456364471706015; ey: -0.19699073753384663; hx: 0.6745083950193793; hy: -4.0635450376813603E-4; lv: 365.42064062839717;}, attitude=org.orekit.attitudes.Attitude@5c5f12e, mass=625.0, additional={}}",2020-01-01 00:17:00
17,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03455387978653196; ey: -0.19699245005634614; hx: 0.6745083802295627; hy: -4.3025770722288916E-4; lv: 369.42565950249536;}, attitude=org.orekit.attitudes.Attitude@23f8036d, mass=625.0, additional={}}",2020-01-01 00:18:00
18,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03454411477117102; ey: -0.19699416209483916; hx: 0.6745083645926623; hy: -4.541609101931329E-4; lv: 373.32183038223553;}, attitude=org.orekit.attitudes.Attitude@68f69ca3, mass=625.0, additional={}}",2020-01-01 00:19:00
19,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03453434967100131; ey: -0.19699587364932153; hx: 0.674508348108678; hy: -4.780641126488438E-4; lv: 377.1136966686467;}, attitude=org.orekit.attitudes.Attitude@1e3566e, mass=625.0, additional={}}",2020-01-01 00:20:00
20,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034524584486046825; ey: -0.196997584719789; hx: 0.6745083307776099; hy: -5.019673145599986E-4; lv: 380.80598304590745;}, attitude=org.orekit.attitudes.Attitude@2b058bfd, mass=625.0, additional={}}",2020-01-01 00:21:00
21,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03451481921633155; ey: -0.19699929530623742; hx: 0.674508312599458; hy: -5.258705158965738E-4; lv: 384.4035110709511;}, attitude=org.orekit.attitudes.Attitude@4805069b, mass=625.0, additional={}}",2020-01-01 00:22:00
