,kep,datetime
0,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 5.770251662716222;}, attitude=org.orekit.attitudes.Attitude@26d445e9, mass=1000.0, additional={}}",2020-01-01 00:01:00
1,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 11.421766377173936;}, attitude=org.orekit.attitudes.Attitude@6e7f29d5, mass=1000.0, additional={}}",2020-01-01 00:02:00
2,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 17.036645281030218;}, attitude=org.orekit.attitudes.Attitude@27048db3, mass=1000.0, additional={}}",2020-01-01 00:03:00
3,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 22.597969731279854;}, attitude=org.orekit.attitudes.Attitude@7f94541b, mass=1000.0, additional={}}",2020-01-01 00:04:00
4,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 28.090204916410848;}, attitude=org.orekit.attitudes.Attitude@7bebad0d, mass=1000.0, additional={}}",2020-01-01 00:05:00
5,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 33.49951688852019;}, attitude=org.orekit.attitudes.Attitude@6c4d0224, mass=1000.0, additional={}}",2020-01-01 00:06:00
6,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 38.8139908209127;}, attitude=org.orekit.attitudes.Attitude@6f27730b, mass=1000.0, additional={}}",2020-01-01 00:07:00
7,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 44.02374833400875;}, attitude=org.orekit.attitudes.Attitude@32cec678, mass=1000.0, additional={}}",2020-01-01 00:08:00
8,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 49.120970530848965;}, attitude=org.orekit.attitudes.Attitude@14eb96e9, mass=1000.0, additional={}}",2020-01-01 00:09:00
9,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 54.09983993025347;}, attitude=org.orekit.attitudes.Attitude@10b3ea72, mass=1000.0, additional={}}",2020-01-01 00:10:00
10,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 58.956418360473;}, attitude=org.orekit.attitudes.Attitude@44587c44, mass=1000.0, additional={}}",2020-01-01 00:11:00
11,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 63.68847919183534;}, attitude=org.orekit.attitudes.Attitude@618fb1, mass=1000.0, additional={}}",2020-01-01 00:12:00
12,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 68.29531152436947;}, attitude=org.orekit.attitudes.Attitude@48751d8a, mass=1000.0, additional={}}",2020-01-01 00:13:00
13,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 72.77751175876384;}, attitude=org.orekit.attitudes.Attitude@471a9e8c, mass=1000.0, additional={}}",2020-01-01 00:14:00
14,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 77.13677502350522;}, attitude=org.orekit.attitudes.Attitude@40277077, mass=1000.0, additional={}}",2020-01-01 00:15:00
15,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 81.37569575858379;}, attitude=org.orekit.attitudes.Attitude@4cb773c5, mass=1000.0, additional={}}",2020-01-01 00:16:00
16,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 85.4975837616191;}, attitude=org.orekit.attitudes.Attitude@2c4eae94, mass=1000.0, additional={}}",2020-01-01 00:17:00
17,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 89.50629942201505;}, attitude=org.orekit.attitudes.Attitude@3f33bb6f, mass=1000.0, additional={}}",2020-01-01 00:18:00
18,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 93.40610980648313;}, attitude=org.orekit.attitudes.Attitude@446cc036, mass=1000.0, additional={}}",2020-01-01 00:19:00
19,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 97.20156572314664;}, attitude=org.orekit.attitudes.Attitude@33b2ba25, mass=1000.0, additional={}}",2020-01-01 00:20:00
20,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 100.89739883071303;}, attitude=org.orekit.attitudes.Attitude@6ad198c9, mass=1000.0, additional={}}",2020-01-01 00:21:00
21,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 104.49843719411298;}, attitude=org.orekit.attitudes.Attitude@481bae3f, mass=1000.0, additional={}}",2020-01-01 00:22:00
22,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 108.00953733093662;}, attitude=org.orekit.attitudes.Attitude@6a54aa7a, mass=1000.0, additional={}}",2020-01-01 00:23:00
23,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 111.43553066153237;}, attitude=org.orekit.attitudes.Attitude@4c114687, mass=1000.0, additional={}}",2020-01-01 00:24:00
24,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 114.78118229923139;}, attitude=org.orekit.attitudes.Attitude@2a60981c, mass=1000.0, additional={}}",2020-01-01 00:25:00
25,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 118.05116023945932;}, attitude=org.orekit.attitudes.Attitude@3f1fb139, mass=1000.0, additional={}}",2020-01-01 00:26:00
26,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 121.25001318493207;}, attitude=org.orekit.attitudes.Attitude@7057dbda, mass=1000.0, additional={}}",2020-01-01 00:27:00
27,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 124.38215544820666;}, attitude=org.orekit.attitudes.Attitude@36349e29, mass=1000.0, additional={}}",2020-01-01 00:28:00
28,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 127.45185758185876;}, attitude=org.orekit.attitudes.Attitude@183a508b, mass=1000.0, additional={}}",2020-01-01 00:29:00
29,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 130.46324158731295;}, attitude=org.orekit.attitudes.Attitude@5aeebccc, mass=1000.0, additional={}}",2020-01-01 00:30:00
30,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 133.42027973820504;}, attitude=org.orekit.attitudes.Attitude@14293540, mass=1000.0, additional={}}",2020-01-01 00:31:00
31,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 136.32679621932633;}, attitude=org.orekit.attitudes.Attitude@6fe243a, mass=1000.0, additional={}}",2020-01-01 00:32:00
32,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 139.18647092650298;}, attitude=org.orekit.attitudes.Attitude@4c8a9266, mass=1000.0, additional={}}",2020-01-01 00:33:00
33,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 142.00284489665336;}, attitude=org.orekit.attitudes.Attitude@63ad5fe7, mass=1000.0, additional={}}",2020-01-01 00:34:00
